ReviewID,ProductID,UserID,ReviewText,ReviewDate,Rating,Sentiment,ProductName,Details,Price,Category
1,121,1979,"The saree is okay, but nothing special.",09-12-2023,3,Neutral,Kalamkari Saree,"Cotton, lightweight",1814,Office
2,195,1855,The saree looks stunning and is of great quality.,22-08-2023,4,Positive,Kalamkari Saree,"Cotton, printed",1740,Jaipuri
3,187,1203,"Disappointed with the quality, feels rough.",10-04-2024,1,Negative,Office Saree,"Cotton, handloom",1687,Office
4,149,1166,Looks professional and feels comfortable.,24-02-2024,5,Positive,Office Saree,"Cotton, lightweight",1985,Kalamkari
5,139,1604,"Average quality, suitable for occasional wear.",12-03-2024,3,Neutral,Kalamkari Saree,"Cotton, formal",1606,Onam
6,148,1644,The saree is okay for office but nothing special.,27-05-2024,3,Neutral,Office Saree,"Cotton, formal",1498,Office
7,139,1161,"Disappointed with the purchase, not worth the price.",22-12-2023,1,Negative,Kalamkari Saree,"Cotton, lightweight",1597,Office
8,146,1997,"Colors are okay, but not very vibrant.",17-08-2023,3,Neutral,Jaipuri Saree,"Cotton, formal",1819,Jaipuri
9,197,1316,Satisfactory for office but expected better.,22-06-2024,3,Neutral,Office Saree,"Cotton, lightweight",1876,Kalamkari
10,187,1686,"Fabric quality is poor, not suitable for Onam.",20-11-2023,2,Negative,Onam Saree,"Cotton, lightweight",1910,Onam
11,117,1944,"Disappointed with the quality, looks cheap.",23-06-2024,1,Negative,Jaipuri Saree,"Cotton, lightweight",1537,Kalamkari
12,133,1593,"Comfortable and formal, ideal for work.",22-06-2024,5,Positive,Office Saree,"Cotton, handloom",1508,Onam
13,151,1332,The colors are vibrant and look amazing.,15-03-2024,4,Positive,Jaipuri Saree,"Cotton, formal",1038,Office
14,169,1757,Vibrant colors and comfortable fabric.,27-03-2024,5,Positive,Kalamkari Saree,"Cotton, formal",1447,Kalamkari
15,113,1637,The fabric is rough and uncomfortable.,21-08-2023,2,Negative,Kalamkari Saree,"Cotton, printed",1345,Jaipuri
16,169,1454,"Lightweight and easy to wear, ideal for festive occasions.",02-03-2024,4,Positive,Onam Saree,"Cotton, lightweight",1902,Kalamkari
17,189,1090,The handloom work on this saree is exceptional.,20-08-2023,4,Positive,Kalamkari Saree,"Cotton, handloom",1052,Kalamkari
18,121,1346,Feels very soft and comfortable to wear.,12-09-2023,4,Positive,Jaipuri Saree,"Cotton, printed",1055,Kalamkari
19,159,1679,It's okay for casual wear.,08-01-2024,3,Neutral,Jaipuri Saree,"Cotton, handloom",1219,Kalamkari
20,129,1693,"Colors are okay, but not very vibrant.",04-12-2023,3,Neutral,Jaipuri Saree,"Cotton, lightweight",1075,Jaipuri
21,134,1248,The design on the saree faded after one wash.,09-06-2024,1,Negative,Kalamkari Saree,"Cotton, printed",1045,Office
22,112,1331,"Colors are dull, not as shown in the picture.",19-10-2023,1,Negative,Office Saree,"Cotton, printed",1165,Onam
23,102,1243,"Disappointed with the quality, feels rough.",11-11-2023,1,Negative,Office Saree,"Cotton, handloom",1252,Jaipuri
24,167,1268,"Fabric feels rough, not comfortable.",16-02-2024,1,Negative,Jaipuri Saree,"Cotton, formal",1714,Onam
25,159,1361,Expected more vibrant colors.,06-07-2023,3,Neutral,Onam Saree,"Cotton, lightweight",1879,Onam
26,140,1575,"Decent saree, but expected better quality.",11-10-2023,3,Neutral,Jaipuri Saree,"Cotton, lightweight",1337,Onam
27,169,1454,"The saree is fine, but not very festive.",17-11-2023,3,Neutral,Onam Saree,"Cotton, lightweight",1299,Kalamkari
28,144,1085,Colors are not as vibrant as shown.,31-08-2023,1,Negative,Jaipuri Saree,"Cotton, printed",1304,Kalamkari
29,196,1394,"Average quality, not very impressive.",08-07-2023,3,Neutral,Onam Saree,"Cotton, lightweight",1239,Jaipuri
30,108,1320,The fabric is rough and uncomfortable.,01-04-2024,1,Negative,Kalamkari Saree,"Cotton, formal",1620,Onam
31,163,1419,The colors are vibrant and look amazing.,02-07-2024,5,Positive,Jaipuri Saree,"Cotton, formal",1942,Onam
32,110,1426,Satisfactory for office but expected better.,31-05-2024,3,Neutral,Office Saree,"Cotton, printed",1034,Jaipuri
33,109,1606,Fabric is fine but the design is not great.,03-01-2024,3,Neutral,Kalamkari Saree,"Cotton, printed",1250,Jaipuri
34,118,1665,The handloom work on this saree is exceptional.,30-12-2023,5,Positive,Kalamkari Saree,"Cotton, handloom",1334,Kalamkari
35,171,1426,"Average quality, not very impressive.",30-06-2024,3,Neutral,Onam Saree,"Cotton, handloom",1499,Kalamkari
36,146,1990,Beautiful Kalamkari saree with intricate designs.,28-06-2024,5,Positive,Kalamkari Saree,"Cotton, lightweight",1300,Office
37,104,1598,Decent for the price but could be better.,18-09-2023,3,Neutral,Onam Saree,"Cotton, handloom",1417,Office
38,167,1258,Decent saree but not very stylish.,14-12-2023,3,Neutral,Office Saree,"Cotton, lightweight",1837,Kalamkari
39,110,1004,The fabric is rough and uncomfortable.,20-06-2024,2,Negative,Kalamkari Saree,"Cotton, handloom",1508,Kalamkari
40,139,1277,It's okay for casual wear.,08-08-2023,3,Neutral,Jaipuri Saree,"Cotton, lightweight",1836,Office
41,107,1021,Perfect saree for Onam celebrations.,11-01-2024,5,Positive,Onam Saree,"Cotton, formal",1443,Kalamkari
42,170,1979,Amazing product,28-02-2024,3,Positive,Kalamkari Saree,"Cotton, printed",1362,Office
43,169,1662,The cotton fabric is very comfortable.,04-07-2024,5,Positive,Onam Saree,"Cotton, handloom",1943,Onam
44,127,1921,The handloom work on this saree is exceptional.,08-10-2023,4,Positive,Kalamkari Saree,"Cotton, handloom",1303,Jaipuri
45,182,1924,"Average quality, suitable for occasional wear.",08-11-2023,3,Neutral,Kalamkari Saree,"Cotton, printed",1097,Office
46,179,1802,"Not as vibrant as shown in the picture, quite dull.",17-02-2024,1,Negative,Kalamkari Saree,"Cotton, lightweight",1173,Office
47,158,1215,Prints faded after first wash.,18-08-2023,1,Negative,Jaipuri Saree,"Cotton, printed",1943,Jaipuri
48,168,1335,Fabric is fine but not very comfortable.,04-06-2024,3,Neutral,Office Saree,"Cotton, lightweight",1904,Jaipuri
49,199,1165,"Decent saree, but expected better quality.",11-08-2023,3,Neutral,Jaipuri Saree,"Cotton, printed",1804,Kalamkari
50,102,1452,The saree looks stunning and is of great quality.,08-04-2024,4,Positive,Kalamkari Saree,"Cotton, printed",1291,Office
51,187,1468,"Simple yet stylish, great for daily wear.",15-12-2023,5,Positive,Office Saree,"Cotton, lightweight",1288,Kalamkari
52,124,1155,"Too lightweight, feels cheap.",07-12-2023,1,Negative,Onam Saree,"Cotton, formal",1051,Jaipuri
53,181,1897,Satisfactory for office but expected better.,08-07-2023,3,Neutral,Office Saree,"Cotton, printed",1896,Onam
54,153,1802,The cotton fabric is very comfortable.,08-01-2024,4,Positive,Onam Saree,"Cotton, printed",1654,Office
55,111,1518,"Fabric feels rough, not comfortable.",06-04-2024,2,Negative,Jaipuri Saree,"Cotton, formal",1106,Office
56,195,1206,Decent saree but not very stylish.,01-06-2024,3,Neutral,Office Saree,"Cotton, handloom",1827,Office
57,110,1685,Poor quality handloom work.,03-10-2023,1,Negative,Kalamkari Saree,"Cotton, handloom",1620,Office
58,168,1898,"Too lightweight, feels cheap.",24-11-2023,1,Negative,Onam Saree,"Cotton, formal",1711,Kalamkari
59,117,1313,The saree tore after a few uses.,02-06-2024,1,Negative,Onam Saree,"Cotton, printed",1510,Onam
60,157,1431,Received many compliments during Onam.,30-08-2023,5,Positive,Onam Saree,"Cotton, handloom",1905,Onam
61,120,1319,"Fabric is too stiff, not comfortable for office.",08-09-2023,2,Negative,Office Saree,"Cotton, printed",1314,Kalamkari
62,198,1721,Decent saree but colors are a bit off.,10-12-2023,3,Neutral,Kalamkari Saree,"Cotton, formal",1173,Kalamkari
63,152,1756,"Disappointed with the purchase, not worth the price.",04-05-2024,2,Negative,Kalamkari Saree,"Cotton, lightweight",1527,Onam
64,195,1286,Prints faded after first wash.,30-11-2023,2,Negative,Jaipuri Saree,"Cotton, printed",1809,Onam
65,126,1537,"Colors are dull, not as shown in the picture.",29-02-2024,1,Negative,Office Saree,"Cotton, handloom",1828,Office
66,176,1814,Decent saree but colors are a bit off.,08-01-2024,3,Neutral,Kalamkari Saree,"Cotton, printed",1265,Kalamkari
67,165,1324,"Perfect for summer, light and airy.",06-04-2024,5,Positive,Jaipuri Saree,"Cotton, lightweight",1648,Kalamkari
68,105,1418,"Colors are dull, not as shown in the picture.",31-03-2024,1,Negative,Office Saree,"Cotton, printed",1289,Kalamkari
69,111,1713,Beautiful Kalamkari saree with intricate designs.,18-01-2024,4,Positive,Kalamkari Saree,"Cotton, printed",1744,Office
70,182,1313,"Fabric quality is poor, not suitable for Onam.",03-10-2023,2,Negative,Onam Saree,"Cotton, printed",1792,Office
